"number","Title","cluster"
"765","Boomerang (1992)",1
"766","Man of the Year (1995)",5
"767","Addiction, The (1995)",5
"768","Casper (1995)",2
"769","Congo (1995)",4
"770","Devil in a Blue Dress (1995)",6
"771","Johnny Mnemonic (1995)",4
"772","Kids (1995)",3
"773","Mute Witness (1994)",6
"774","Prophecy, The (1995)",5
"775","Something to Talk About (1995)",1
"776","Three Wishes (1995)",3
"777","Castle Freak (1995)",5
"778","Don Juan DeMarco (1995)",1
"779","Drop Zone (1994)",4
"780","Dumb & Dumber (1994)",1
"781","French Kiss (1995)",1
"782","Little Odessa (1994)",3
"783","Milk Money (1994)",1
"784","Beyond Bedlam (1993)",3
"785","Only You (1994)",1
"786","Perez Family, The (1995)",1
"787","Roommates (1995)",1
"788","Relative Fear (1994)",6
"789","Swimming with Sharks (1995)",1
"790","Tommy Boy (1995)",1
"791","Baby-Sitters Club, The (1995)",2
"792","Bullets Over Broadway (1994)",1
"793","Crooklyn (1994)",1
"794","It Could Happen to You (1994)",3
"795","Richie Rich (1994)",2
"796","Speechless (1994)",1
"797","Timecop (1994)",4
"798","Bad Company (1995)",4
"799","Boys Life (1995)",3
"800","In the Mouth of Madness (1995)",6
"801","Air Up There, The (1994)",1
"802","Hard Target (1993)",4
"803","Heaven & Earth (1993)",3
"804","Jimmy Hollywood (1994)",1
"805","Manhattan Murder Mystery (1993)",1
"806","Menace II Society (1993)",3
"807","Poetic Justice (1993)",3
"808","Program, The (1993)",3
"809","Rising Sun (1993)",3
"810","Shadow, The (1994)",4
"811","Thirty-Two Short Films About Glenn Gould (1993)",5
"812","Andre (1994)",2
"813","Celluloid Closet, The (1995)",5
"814","Great Day in Harlem, A (1994)",5
"815","One Fine Day (1996)",3
"816","Candyman: Farewell to the Flesh (1995)",5
"817","Frisk (1995)",3
"818","Girl 6 (1996)",1
"819","Eddie (1996)",1
"820","Space Jam (1996)",2
"821","Mrs. Winterbourne (1996)",1
"822","Faces (1968)",3
"823","Mulholland Falls (1996)",6
"824","Great White Hype, The (1996)",1
"825","Arrival, The (1996)",4
"826","Phantom, The (1996)",5
"827","Daylight (1996)",4
"828","Alaska (1996)",2
"829","Fled (1996)",4
"830","Power 98 (1995)",4
"831","Escape from L.A. (1996)",4
"832","Bogus (1996)",3
"833","Bulletproof (1996)",4
"834","Halloween: The Curse of Michael Myers (1995)",6
"835","Gay Divorcee, The (1934)",1
"836","Ninotchka (1939)",1
"837","Meet John Doe (1941)",3
"838","In the Line of Duty 2 (1987)",4
"839","Loch Ness (1995)",6
"840","Last Man Standing (1996)",3
"841","Glimmer Man, The (1996)",4
"842","Pollyanna (1960)",2
"843","Shaggy Dog, The (1959)",2
"844","Freeway (1996)",5
"845","That Thing You Do! (1996)",1
"846","To Gillian on Her 37th Birthday (1996)",3
"847","Looking for Richard (1996)",3
"848","Murder, My Sweet (1944)",6
"849","Days of Thunder (1990)",4
"850","Perfect Candidate, A (1996)",5
"851","Two or Three Things I Know About Her (1966)",3
"852","Bloody Child, The (1996)",6
"853","Braindead (1992)",1
"854","Bad Taste (1987)",1
"855","Diva (1981)",6
"856","Night on Earth (1991)",1
"857","Paris Was a Woman (1995)",5
"858","Amityville: Dollhouse (1996)",5
"859","April Fool's Day (1986)",1
"860","Believers, The (1987)",6
"861","Nosferatu a Venezia (1986)",5
"862","Jingle All the Way (1996)",2
"863","Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",3
"864","My Fellow Americans (1996)",1
"865","Ice Storm, The (1997)",3
"866","Michael (1996)",1
"867","Whole Wide World, The (1996)",3
"868","Hearts and Minds (1996)",3
"869","Fools Rush In (1997)",1
"870","Touch (1997)",5
"871","Vegas Vacation (1997)",1
"872","Love Jones (1997)",5
"873","Picture Perfect (1997)",1
"874","Career Girls (1997)",3
"875","She's So Lovely (1997)",3
"876","Money Talks (1997)",1
"877","Excess Baggage (1997)",5
"878","That Darn Cat! (1997)",2
"879","Peacemaker, The (1997)",4
"880","Soul Food (1997)",3
"881","Money Talks (1997)",1
"882","Washington Square (1997)",3
"883","Telling Lies in America (1997)",3
"884","Year of the Horse (1997)",5
"885","Phantoms (1998)",5
"886","Life Less Ordinary, A (1997)",6
"887","Eve's Bayou (1997)",3
"888","One Night Stand (1997)",3
"889","Tango Lesson, The (1997)",5
"890","Mortal Kombat: Annihilation (1997)",4
"891","Bent (1997)",3
"892","Flubber (1997)",2
"893","For Richer or Poorer (1997)",1
"894","Home Alone 3 (1997)",2
"895","Scream 2 (1997)",6
"896","Sweet Hereafter, The (1997)",3
"897","Time Tracers (1995)",4
"898","Postman, The (1997)",3
"899","Winter Guest, The (1997)",3
"900","Kundun (1997)",3
"901","Mr. Magoo (1997)",1
"902","Big Lebowski, The (1998)",6
"903","Afterglow (1997)",3
"904","Ma vie en rose (My Life in Pink) (1997)",1
"905","Great Expectations (1998)",3
"906","Oscar & Lucinda (1997)",3
"907","Vermin (1998)",1
"908","Half Baked (1998)",1
"909","Dangerous Beauty (1998)",3
"910","Nil By Mouth (1997)",3
"911","Twilight (1998)",3
"912","U.S. Marshalls (1998)",4
"913","Love and Death on Long Island (1997)",1
"914","Wild Things (1998)",6
"915","Primary Colors (1998)",3
"916","Lost in Space (1998)",4
"917","Mercury Rising (1998)",6
"918","City of Angels (1998)",5
"919","City of Lost Children, The (1995)",5
"920","Two Bits (1995)",3
"921","Farewell My Concubine (1993)",3
"922","Dead Man (1995)",5
"923","Raise the Red Lantern (1991)",3
"924","White Squall (1996)",3
"925","Unforgettable (1996)",6
"926","Down Periscope (1996)",1
"927","Flower of My Secret, The (Flor de mi secreto, La) (1995)",3
"928","Craft, The (1996)",3
"929","Harriet the Spy (1996)",2
"930","Chain Reaction (1996)",4
"931","Island of Dr. Moreau, The (1996)",6
"932","First Kid (1996)",2
"933","Funeral, The (1996)",3
"934","Preacher's Wife, The (1996)",3
"935","Paradise Road (1997)",3
"936","Brassed Off (1996)",1
"937","Thousand Acres, A (1997)",3
"938","Smile Like Yours, A (1997)",1
"939","Murder in the First (1995)",6
"940","Airheads (1994)",1
"941","With Honors (1994)",1
"942","What's Love Got to Do with It (1993)",3
"943","Killing Zoe (1994)",6
"944","Renaissance Man (1994)",1
"945","Charade (1963)",1
"946","Fox and the Hound, The (1981)",2
"947","Big Blue, The (Grand bleu, Le) (1988)",5
"948","Booty Call (1997)",1
"949","How to Make an American Quilt (1995)",3
"950","Georgia (1995)",3
"951","Indian in the Cupboard, The (1995)",2
"952","Blue in the Face (1995)",1
"953","Unstrung Heroes (1995)",1
"954","Unzipped (1995)",5
"955","Before Sunrise (1995)",3
"956","Nobody's Fool (1994)",3
"957","Pushing Hands (1992)",1
"958","To Live (Huozhe) (1994)",3
"959","Dazed and Confused (1993)",1
"960","Naked (1993)",3
"961","Orlando (1993)",3
"962","Ruby in Paradise (1993)",3
"963","Some Folks Call It a Sling Blade (1993)",6
"964","Month by the Lake, A (1995)",1
"965","Funny Face (1957)",1
"966","Affair to Remember, An (1957)",5
"967","Little Lord Fauntleroy (1936)",3
"968","Inspector General, The (1949)",5
"969","Winnie the Pooh and the Blustery Day (1968)",2
"970","Hear My Song (1991)",1
"971","Mediterraneo (1991)",1
"972","Passion Fish (1992)",3
"973","Grateful Dead (1995)",5
"974","Eye for an Eye (1996)",6
"975","Fear (1996)",6
"976","Solo (1996)",4
"977","Substitute, The (1996)",4
"978","Heaven's Prisoners (1996)",6
"979","Trigger Effect, The (1996)",6
"980","Mother Night (1996)",3
"981","Dangerous Ground (1997)",3
"982","Maximum Risk (1996)",4
"983","Rich Man's Wife, The (1996)",6
"984","Shadow Conspiracy (1997)",6
"985","Blood & Wine (1997)",3
"986","Turbulence (1997)",6
"987","Underworld (1997)",6
"988","Beautician and the Beast, The (1997)",1
"989","Cats Don't Dance (1997)",2
"990","Anna Karenina (1997)",3
"991","Keys to Tulsa (1997)",5
"992","Head Above Water (1996)",1
"993","Hercules (1997)",2
"994","Last Time I Committed Suicide, The (1997)",3
"995","Kiss Me, Guido (1997)",1
"996","Big Green, The (1995)",2
"997","Stuart Saves His Family (1995)",1
"998","Cabin Boy (1994)",1
"999","Clean Slate (1994)",1
"1000","Lightning Jack (1994)",1
"1001","Stupids, The (1996)",1
"1002","Pest, The (1997)",1
"1003","That Darn Cat! (1997)",2
"1004","Geronimo: An American Legend (1993)",3
"1005","Double vie de V�ronique, La (Double Life of Veronique, The) (1991)",3
"1006","Until the End of the World (Bis ans Ende der Welt) (1991)",3
"1007","Waiting for Guffman (1996)",1
"1008","I Shot Andy Warhol (1996)",3
"1009","Stealing Beauty (1996)",3
"1010","Basquiat (1996)",3
"1011","2 Days in the Valley (1996)",5
"1012","Private Parts (1997)",1
"1013","Anaconda (1997)",4
"1014","Romy and Michele's High School Reunion (1997)",1
"1015","Shiloh (1997)",3
"1016","Con Air (1997)",4
"1017","Trees Lounge (1996)",3
"1018","Tie Me Up! Tie Me Down! (1990)",3
"1019","Die xue shuang xiong (Killer, The) (1989)",4
"1020","Gaslight (1944)",6
"1021","8 1/2 (1963)",3
"1022","Fast, Cheap & Out of Control (1997)",5
"1023","Fathers' Day (1997)",1
"1024","Mrs. Dalloway (1997)",5
"1025","Fire Down Below (1997)",6
"1026","Lay of the Land, The (1997)",1
"1027","Shooter, The (1995)",4
"1028","Grumpier Old Men (1995)",1
"1029","Jury Duty (1995)",1
"1030","Beverly Hillbillies, The (1993)",1
"1031","Lassie (1994)",2
"1032","Little Big League (1994)",2
"1033","Homeward Bound II: Lost in San Francisco (1996)",2
"1034","Quest, The (1996)",4
"1035","Cool Runnings (1993)",1
"1036","Drop Dead Fred (1991)",1
"1037","Grease 2 (1982)",1
"1038","Switchback (1997)",6
"1039","Hamlet (1996)",3
"1040","Two if by Sea (1996)",1
"1041","Forget Paris (1995)",1
"1042","Just Cause (1995)",6
"1043","Rent-a-Kid (1995)",1
"1044","Paper, The (1994)",1
"1045","Fearless (1993)",3
"1046","Malice (1993)",6
"1047","Multiplicity (1996)",1
"1048","She's the One (1996)",1
"1049","House Arrest (1996)",1
"1050","Ghost and Mrs. Muir, The (1947)",3
"1051","Associate, The (1996)",1
"1052","Dracula: Dead and Loving It (1995)",1
"1053","Now and Then (1995)",3
"1054","Mr. Wrong (1996)",1
"1055","Simple Twist of Fate, A (1994)",3
"1056","Cronos (1992)",5
"1057","Pallbearer, The (1996)",1
"1058","War, The (1994)",3
"1059","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",1
"1060","Adventures of Pinocchio, The (1996)",2
"1061","Evening Star, The (1996)",1
"1062","Four Days in September (1997)",3
"1063","Little Princess, A (1995)",3
"1064","Crossfire (1947)",5
"1065","Koyaanisqatsi (1983)",5
"1066","Balto (1995)",2
"1067","Bottle Rocket (1996)",1
"1068","Star Maker, The (Uomo delle stelle, L') (1995)",3
"1069","Amateur (1994)",6
"1070","Living in Oblivion (1995)",1
"1071","Party Girl (1995)",1
"1072","Pyromaniac's Love Story, A (1995)",1
"1073","Shallow Grave (1994)",6
"1074","Reality Bites (1994)",1
"1075","Man of No Importance, A (1994)",3
"1076","Pagemaster, The (1994)",2
"1077","Love and a .45 (1994)",6
"1078","Oliver & Company (1988)",2
"1079","Joe's Apartment (1996)",1
"1080","Celestial Clockwork (1994)",1
"1081","Curdled (1996)",5
"1082","Female Perversions (1996)",3
"1083","Albino Alligator (1996)",6
"1084","Anne Frank Remembered (1995)",5
"1085","Carried Away (1996)",3
"1086","It's My Party (1995)",3
"1087","Bloodsport 2 (1995)",4
"1088","Double Team (1997)",4
"1089","Speed 2: Cruise Control (1997)",4
"1090","Sliver (1993)",6
"1091","Pete's Dragon (1977)",2
"1092","Dear God (1996)",1
"1093","Live Nude Girls (1995)",1
"1094","Thin Line Between Love and Hate, A (1996)",1
"1095","High School High (1996)",1
"1096","Commandments (1997)",5
"1097","Hate (Haine, La) (1995)",3
"1098","Flirting With Disaster (1996)",1
"1099","Red Firecracker, Green Firecracker (1994)",3
"1100","What Happened Was... (1994)",1
"1101","Six Degrees of Separation (1993)",3
"1102","Two Much (1996)",1
"1103","Trust (1990)",1
"1104","C'est arriv� pr�s de chez vous (1992)",1
"1105","Firestorm (1998)",4
"1106","Newton Boys, The (1998)",3
"1107","Beyond Rangoon (1995)",3
"1108","Feast of July (1995)",3
"1109","Death and the Maiden (1994)",6
"1110","Tank Girl (1995)",4
"1111","Double Happiness (1994)",3
"1112","Cobb (1994)",3
"1113","Mrs. Parker and the Vicious Circle (1994)",3
"1114","Faithful (1996)",1
"1115","Twelfth Night (1996)",1
"1116","Mark of Zorro, The (1940)",5
"1117","Surviving Picasso (1996)",3
"1118","Up in Smoke (1978)",1
"1119","Some Kind of Wonderful (1987)",3
"1120","I'm Not Rappaport (1996)",1
"1121","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3
"1122","They Made Me a Criminal (1939)",3
"1123","Last Time I Saw Paris, The (1954)",3
"1124","Farewell to Arms, A (1932)",5
"1125","Innocents, The (1961)",6
"1126","Old Man and the Sea, The (1958)",3
"1127","Truman Show, The (1998)",3
"1128","Heidi Fleiss: Hollywood Madam (1995) ",5
"1129","Chungking Express (1994)",3
"1130","Jupiter's Wife (1994)",5
"1131","Safe (1995)",6
"1132","Feeling Minnesota (1996)",3
"1133","Escape to Witch Mountain (1975)",2
"1134","Get on the Bus (1996)",3
"1135","Doors, The (1991)",3
"1136","Ghosts of Mississippi (1996)",3
"1137","Beautiful Thing (1996)",3
"1138","Best Men (1997)",1
"1139","Hackers (1995)",4
"1140","Road to Wellville, The (1994)",1
"1141","War Room, The (1993)",5
"1142","When We Were Kings (1996)",5
"1143","Hard Eight (1996)",6
"1144","Quiet Room, The (1996)",3
"1145","Blue Chips (1994)",3
"1146","Calendar Girl (1993)",3
"1147","My Family (1995)",3
"1148","Tom & Viv (1994)",3
"1149","Walkabout (1971)",3
"1150","Last Dance (1996)",3
"1151","Original Gangstas (1996)",5
"1152","In Love and War (1996)",5
"1153","Backbeat (1993)",3
"1154","Alphaville (1965)",5
"1155","Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",1
"1156","Cyclo (1995)",3
"1157","Relic, The (1997)",5
"1158","Fille seule, La (A Single Girl) (1995)",3
"1159","Stalker (1979)",5
"1160","Love! Valour! Compassion! (1997)",3
"1161","Palookaville (1996)",3
"1162","Phat Beach (1996)",1
"1163","Portrait of a Lady, The (1996)",3
"1164","Zeus and Roxanne (1997)",2
"1165","Big Bully (1996)",1
"1166","Love & Human Remains (1993)",1
"1167","Sum of Us, The (1994)",1
"1168","Little Buddha (1993)",3
"1169","Fresh (1994)",3
"1170","Spanking the Monkey (1994)",1
"1171","Wild Reeds (1994)",3
"1172","Women, The (1939)",1
"1173","Bliss (1997)",3
"1174","Caught (1996)",6
"1175","Hugo Pool (1997)",5
"1176","Welcome To Sarajevo (1997)",3
"1177","Dunston Checks In (1996)",1
"1178","Major Payne (1994)",1
"1179","Man of the House (1995)",1
"1180","I Love Trouble (1994)",1
"1181","Low Down Dirty Shame, A (1994)",1
"1182","Cops and Robbersons (1994)",1
"1183","Cowboy Way, The (1994)",1
"1184","Endless Summer 2, The (1994)",5
"1185","In the Army Now (1994)",1
"1186","Inkwell, The (1994)",1
"1187","Switchblade Sisters (1975)",5
"1188","Young Guns II (1990)",1
"1189","Prefontaine (1997)",3
"1190","That Old Feeling (1997)",1
"1191","Letter From Death Row, A (1998)",3
"1192","Boys of St. Vincent, The (1993)",3
"1193","Before the Rain (Pred dozhdot) (1994)",3
"1194","Once Were Warriors (1994)",3
"1195","Strawberry and Chocolate (Fresa y chocolate) (1993)",3
"1196","Savage Nights (Nuits fauves, Les) (1992)",3
"1197","Family Thing, A (1996)",1
"1198","Purple Noon (1960)",6
"1199","Cemetery Man (Dellamorte Dellamore) (1994)",1
"1200","Kim (1950)",3
"1201","Marlene Dietrich: Shadow and Light (1996) ",5
"1202","Maybe, Maybe Not (Bewegte Mann, Der) (1994)",1
"1203","Top Hat (1935)",1
"1204","To Be or Not to Be (1942)",1
"1205","Secret Agent, The (1996)",3
"1206","Amos & Andrew (1993)",1
"1207","Jade (1995)",6
"1208","Kiss of Death (1995)",6
"1209","Mixed Nuts (1994)",1
"1210","Virtuosity (1995)",6
"1211","Blue Sky (1994)",3
"1212","Flesh and Bone (1993)",3
"1213","Guilty as Sin (1993)",6
"1214","In the Realm of the Senses (Ai no corrida) (1976)",3
"1215","Barb Wire (1996)",4
"1216","Kissed (1996)",5
"1217","Assassins (1995)",6
"1218","Friday (1995)",1
"1219","Goofy Movie, A (1995)",2
"1220","Higher Learning (1995)",3
"1221","When a Man Loves a Woman (1994)",3
"1222","Judgment Night (1993)",4
"1223","King of the Hill (1993)",3
"1224","Scout, The (1994)",3
"1225","Angus (1995)",1
"1226","Night Falls on Manhattan (1997)",3
"1227","Awfully Big Adventure, An (1995)",3
"1228","Under Siege 2: Dark Territory (1995)",4
"1229","Poison Ivy II (1995)",6
"1230","Ready to Wear (Pret-A-Porter) (1994)",1
"1231","Marked for Death (1990)",3
"1232","Madonna: Truth or Dare (1991)",5
"1233","N�nette et Boni (1996)",3
"1234","Chairman of the Board (1998)",1
"1235","Big Bang Theory, The (1994)",5
"1236","Other Voices, Other Rooms (1997)",3
"1237","Twisted (1996)",1
"1238","Full Speed (1996)",3
"1239","Cutthroat Island (1995)",4
"1240","Ghost in the Shell (Kokaku kidotai) (1995)",5
"1241","Van, The (1996)",1
"1242","Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",1
"1243","Night Flier (1997)",5
"1244","Metro (1997)",4
"1245","Gridlock'd (1997)",5
"1246","Bushwhacked (1995)",1
"1247","Bad Girls (1994)",5
"1248","Blink (1994)",6
"1249","For Love or Money (1993)",1
"1250","Best of the Best 3: No Turning Back (1995)",4
"1251","A Chef in Love (1996)",1
"1252","Contempt (M�pris, Le) (1963)",3
"1253","Tie That Binds, The (1995)",6
"1254","Gone Fishin' (1997)",1
"1255","Broken English (1996)",3
"1256","Designated Mourner, The (1997)",3
"1257","Designated Mourner, The (1997)",3
"1258","Trial and Error (1997)",1
"1259","Pie in the Sky (1995)",1
"1260","Total Eclipse (1995)",3
"1261","Run of the Country, The (1995)",3
"1262","Walking and Talking (1996)",5
"1263","Foxfire (1996)",3
"1264","Nothing to Lose (1994)",3
"1265","Star Maps (1997)",3
"1266","Bread and Chocolate (Pane e cioccolata) (1973)",3
"1267","Clockers (1995)",3
"1268","Bitter Moon (1992)",3
"1269","Love in the Afternoon (1957)",1
"1270","Life with Mikey (1993)",1
"1271","North (1994)",1
"1272","Talking About Sex (1994)",1
"1273","Color of Night (1994)",6
"1274","Robocop 3 (1993)",6
"1275","Killer (Bulletproof Heart) (1994)",6
"1276","Sunset Park (1996)",3
"1277","Set It Off (1996)",4
"1278","Selena (1997)",3
"1279","Wild America (1997)",2
"1280","Gang Related (1997)",5
"1281","Manny & Lo (1996)",3
"1282","Grass Harp, The (1995)",3
"1283","Out to Sea (1997)",1
"1284","Before and After (1996)",3
"1285","Princess Caraboo (1994)",3
"1286","Shall We Dance? (1937)",1
"1287","Ed (1996)",1
"1288","Denise Calls Up (1995)",1
"1289","Jack and Sarah (1995)",5
"1290","Country Life (1994)",3
"1291","Celtic Pride (1996)",1
"1292","Simple Wish, A (1997)",2
"1293","Star Kid (1997)",2
"1294","Ayn Rand: A Sense of Life (1997)",5
"1295","Kicked in the Head (1997)",1
"1296","Indian Summer (1996)",1
"1297","Love Affair (1994)",3
"1298","Band Wagon, The (1953)",1
"1299","Penny Serenade (1941)",3
"1300","'Til There Was You (1997)",3
"1301","Stripes (1981)",1
"1302","Late Bloomers (1996)",1
"1303","Getaway, The (1994)",4
"1304","New York Cop (1996)",4
"1305","National Lampoon's Senior Trip (1995)",1
"1306","Delta of Venus (1994)",3
"1307","Carmen Miranda: Bananas Is My Business (1994)",5
"1308","Babyfever (1994)",1
"1309","Very Natural Thing, A (1974)",3
"1310","Walk in the Sun, A (1945)",3
"1311","Waiting to Exhale (1995)",1
"1312","Pompatus of Love, The (1996)",1
"1313","Palmetto (1998)",6
"1314","Surviving the Game (1994)",4
"1315","Inventing the Abbotts (1997)",3
"1316","Horse Whisperer, The (1998)",3
"1317","Journey of August King, The (1995)",3
"1318","Catwalk (1995)",5
"1319","Neon Bible, The (1995)",3
"1320","Homage (1995)",3
"1321","Open Season (1996)",1
"1322","Metisse (Caf� au Lait) (1993)",1
"1323","Wooden Man's Bride, The (Wu Kui) (1994)",3
"1324","Loaded (1994)",6
"1325","August (1996)",3
"1326","Boys (1996)",3
"1327","Captives (1994)",3
"1328","Of Love and Shadows (1994)",3
"1329","Low Life, The (1994)",3
"1330","An Unforgettable Summer (1994)",3
"1331","Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",5
"1332","My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)",3
"1333","Midnight Dancers (Sibak) (1994)",1
"1334","Somebody to Love (1994)",3
"1335","American Buffalo (1996)",3
"1336","Kazaam (1996)",2
"1337","Larger Than Life (1996)",1
"1338","Two Deaths (1995)",3
"1339","Stefano Quantestorie (1993)",1
"1340","Crude Oasis, The (1995)",5
"1341","Hedd Wyn (1992)",3
"1342","Convent, The (Convento, O) (1995)",3
"1343","Lotto Land (1995)",3
"1344","Story of Xinghua, The (1993)",3
"1345","Day the Sun Turned Cold, The (Tianguo niezi) (1994)",3
"1346","Dingo (1992)",3
"1347","Ballad of Narayama, The (Narayama Bushiko) (1958)",3
"1348","Every Other Weekend (1990)",3
"1349","Mille bolle blu (1993)",1
"1350","Crows and Sparrows (1949)",3
"1351","Lover's Knot (1996)",1
"1352","Shadow of Angels (Schatten der Engel) (1976)",3
"1353","1-900 (1994)",5
"1354","Venice/Venice (1992)",3
"1355","Infinity (1996)",3
"1356","Ed's Next Move (1996)",1
"1357","For the Moment (1994)",5
"1358","The Deadly Cure (1996)",4
"1359","Boys in Venice (1996)",3
"1360","Sexual Life of the Belgians, The (1994)",1
"1361","Search for One-eye Jimmy, The (1996)",1
"1362","American Strays (1996)",4
"1363","Leopard Son, The (1996)",5
"1364","Bird of Prey (1996)",4
"1365","Johnny 100 Pesos (1993)",3
"1366","JLG/JLG - autoportrait de d�cembre (1994)",3
"1367","Faust (1994)",5
"1368","Mina Tannenbaum (1994)",3
"1369","Forbidden Christ, The (Cristo proibito, Il) (1950)",3
"1370","I Can't Sleep (J'ai pas sommeil) (1994)",6
"1371","Machine, The (1994)",1
"1372","Stranger, The (1994)",4
"1373","Good Morning (1971)",5
"1374","Falling in Love Again (1980)",1
"1375","Cement Garden, The (1993)",3
"1376","Meet Wally Sparks (1997)",1
"1377","Hotel de Love (1996)",1
"1378","Rhyme & Reason (1997)",5
"1379","Love and Other Catastrophes (1996)",5
"1380","Hollow Reed (1996)",3
"1381","Losing Chase (1996)",3
"1382","Bonheur, Le (1965)",3
"1383","Second Jungle Book: Mowgli & Baloo, The (1997)",2
"1384","Squeeze (1996)",3
"1385","Roseanna's Grave (For Roseanna) (1997)",1
"1386","Tetsuo II: Body Hammer (1992)",5
"1387","Fall (1997)",5
"1388","Gabbeh (1996)",3
"1389","Mondo (1996)",3
"1390","Innocent Sleep, The (1995)",5
"1391","For Ever Mozart (1996)",3
"1392","Locusts, The (1997)",3
"1393","Stag (1997)",4
"1394","Swept from the Sea (1997)",5
"1395","Hurricane Streets (1998)",3
"1396","Stonewall (1995)",3
"1397","Of Human Bondage (1934)",3
"1398","Anna (1996)",3
"1399","Stranger in the House (1997)",6
"1400","Picture Bride (1995)",3
"1401","M. Butterfly (1993)",3
"1402","Ciao, Professore! (1993)",3
"1403","Caro Diario (Dear Diary) (1994)",1
"1404","Withnail and I (1987)",1
"1405","Boy's Life 2 (1997)",3
"1406","When Night Is Falling (1995)",3
"1407","Specialist, The (1994)",4
"1408","Gordy (1995)",1
"1409","Swan Princess, The (1994)",2
"1410","Harlem (1993)",3
"1411","Barbarella (1968)",5
"1412","Land Before Time III: The Time of the Great Giving (1995) (V)",2
"1413","Street Fighter (1994)",4
"1414","Coldblooded (1995)",4
"1415","Next Karate Kid, The (1994)",2
"1416","No Escape (1994)",4
"1417","Turning, The (1992)",3
"1418","Joy Luck Club, The (1993)",3
"1419","Highlander III: The Sorcerer (1994)",4
"1420","Gilligan's Island: The Movie (1998)",1
"1421","My Crazy Life (Mi vida loca) (1993)",3
"1422","Suture (1993)",6
"1423","Walking Dead, The (1995)",3
"1424","I Like It Like That (1994)",1
"1425","I'll Do Anything (1994)",1
"1426","Grace of My Heart (1996)",1
"1427","Drunks (1995)",3
"1428","SubUrbia (1997)",1
"1429","Sliding Doors (1998)",3
"1430","Ill Gotten Gains (1997)",3
"1431","Legal Deceit (1997)",6
"1432","Mighty, The (1998)",3
"1433","Men of Means (1998)",3
"1434","Shooting Fish (1997)",5
"1435","Steal Big, Steal Little (1995)",1
"1436","Mr. Jones (1993)",3
"1437","House Party 3 (1994)",1
"1438","Panther (1995)",3
"1439","Jason's Lyric (1994)",3
"1440","Above the Rim (1994)",3
"1441","Moonlight and Valentino (1995)",3
"1442","Scarlet Letter, The (1995)",3
"1443","8 Seconds (1994)",3
"1444","That Darn Cat! (1965)",2
"1445","Ladybird Ladybird (1994)",3
"1446","Bye Bye, Love (1995)",1
"1447","Century (1993)",3
"1448","My Favorite Season (1993)",3
"1449","Pather Panchali (1955)",3
"1450","Golden Earrings (1947)",5
"1451","Foreign Correspondent (1940)",6
"1452","Lady of Burlesque (1943)",1
"1453","Angel on My Shoulder (1946)",3
"1454","Angel and the Badman (1947)",5
"1455","Outlaw, The (1943)",5
"1456","Beat the Devil (1954)",1
"1457","Love Is All There Is (1996)",1
"1458","Damsel in Distress, A (1937)",1
"1459","Madame Butterfly (1995)",5
"1460","Sleepover (1995)",1
"1461","Here Comes Cookie (1935)",1
"1462","Thieves (Voleurs, Les) (1996)",3
"1463","Boys, Les (1997)",1
"1464","Stars Fell on Henrietta, The (1995)",3
"1465","Last Summer in the Hamptons (1995)",1
"1466","Margaret's Museum (1995)",3
"1467","Saint of Fort Washington, The (1993)",3
"1468","Cure, The (1995)",3
"1469","Tom and Huck (1995)",2
"1470","Gumby: The Movie (1995)",2
"1471","Hideaway (1995)",6
"1472","Visitors, The (Visiteurs, Les) (1993)",1
"1473","Little Princess, The (1939)",3
"1474","Nina Takes a Lover (1994)",1
"1475","Bhaji on the Beach (1993)",1
"1476","Raw Deal (1948)",5
"1477","Nightwatch (1997)",6
"1478","Dead Presidents (1995)",3
"1479","Reckless (1995)",1
"1480","Herbie Rides Again (1974)",2
"1481","S.F.W. (1994)",3
"1482","Gate of Heavenly Peace, The (1995)",5
"1483","Man in the Iron Mask, The (1998)",3
"1484","Jerky Boys, The (1994)",1
"1485","Colonel Chabert, Le (1994)",3
"1486","Girl in the Cadillac (1995)",3
"1487","Even Cowgirls Get the Blues (1993)",1
"1488","Germinal (1993)",3
"1489","Chasers (1994)",1
"1490","Fausto (1993)",1
"1491","Tough and Deadly (1995)",6
"1492","Window to Paris (1994)",1
"1493","Modern Affair, A (1995)",5
"1494","Mostro, Il (1994)",1
"1495","Flirt (1995)",3
"1496","Carpool (1996)",1
"1497","Line King: Al Hirschfeld, The (1996)",5
"1498","Farmer & Chase (1995)",1
"1499","Grosse Fatigue (1994)",1
"1500","Santa with Muscles (1996)",1
"1501","Prisoner of the Mountains (Kavkazsky Plennik) (1996)",5
"1502","Naked in New York (1994)",1
"1503","Gold Diggers: The Secret of Bear Mountain (1995)",2
"1504","Bewegte Mann, Der (1994)",1
"1505","Killer: A Journal of Murder (1995)",3
"1506","Nelly & Monsieur Arnaud (1995)",3
"1507","Three Lives and Only One Death (1996)",1
